price
995.0
313.5
324.95
692.96
778.06
490.0
349.0
810.89
345.0
315.0
514.85
105.15
430.0
925.0
350.0
166.18
1620.0
431.36
195.627379550654
824.43
253.0
570.51
1280.0
244.85
719.34
815.0
285.86
1410.26
813.96
435.75
369.05
1182.77
227.95
999.0
360.0
1190.0
1150.0
950.0
1021.21
544.5
1295.0
992.2
1289.44
1098.9
215.34
1094.9
239.5
175.5
194.0
381.15
584.43
555.2
445.28
189.0
362.25
289.0
325.0
107.57
234.0
500.94
698.9
872.47
877.85
827.94
113.18
679.72
787.59
480.06
75.1
154.9
145.0
290.0
795.0
371.78009750522
134.19
82.58
873.86
774.4
84.95
940.0
812.63
116.54
1500.0
1190.0
154.85
135.0
63.75
827.94
66.07
213.9
234.9
2087.25
89.9
1384.54
820.98
1250.0
1500.0
1715.18
932.3
1372.14
78.9
660.96
154.0
134.89
1422.96
207.11
340.49
317.63
108.9
700.0
185.0
911.43
1150.0
698.95
2814.16
1325.0
527.26
1071.45
299.0
1207.6
175.0
1252.35
145.9
447.95
813.96
1410.26
182.9
99.0
1113.2
654.31
134.26
380.0
292.09
400.85
202.01
250.0
88.9
77.9
191.61
123.89
114.28
95.57
93.95
248.0
397.0
65.05
86.9
472.5
379.0
185.15
94.2
46.0
919.6
680.0
218.0
177.0
187.3
195.59
135.0
225.2
79.8
116.187943627787
89.3
438.9
79.9
249.0
129.95
76.95
252.0
232.0
214.0
205.0
49.95
125.0
276.8
75.0
1359.75
81.5
890.0
43.5
99.0
1198.72
94.95
89.0
1785.96
108.21
391.5
1350.0
145.0
173.38
220.0
85.7
2884.04
79.9
68.7
1638.95
150.0
48.95
109.41
119.0
195.0
1595.0
519.55
89.0
511.9
980.0
73.0
280.0
932.3
251.99
61.69
1372.14
210.5
285.0
245.75
228.57
319.9
325.0
345.0
58.9
159.0
69.9
895.4
147.85
88.05
1080.0
301.0
275.0
1106.24
64.9
1503.0
1372.14
241.55
89.17
769.9
67.94
44.0
445.0
87.02
747.17
49.95
50.51
157.4
120.9
1746.94
75.3
47.5
359.9
43.5
136.0
135.0
82.5
149.9
1260.0
59.0
82.5
195.0
195.0
54.5
79.1
272.0
99.0
189.99
317.63
399.6
701.05
74.9
654.31
247.75
144.99
945.0
50.0
126.64
162.38
81.0
2750.0
121.0
355.95
164.66
120.9
218.9
65.95
86.0
282.65
259.9
1099.28
35.0
269.95
27.2693427
1250.0
52.95
114.95
89.9
195.0
29.35
79.9
53.95
270.44
187.5
210.0
85.63
304.54
34.3
993.28
85.95
249.9
1238.43
128.0
135.5
40.5
85.0
123.0
106.35
207.0
75.95
185.3
205.95
40.45
176.89
79.9
79.0
195.27
58.9
1660.0
111.9
29.95
129.9
69.95
299.0
3119.08
99.95
374.35
46.45
2750.0
42.5
